Owner,Recipe,Description,Ingredients,Steps,Category,Flavor Profile,Nutrition Labels,Prep (min),Cook (min),Servings,Difficulty,Estimated Cost,Tags,Meal Type,Mood,Ratings
,Fish Pinipig,Isang masarap na pritong isda na may balot na pinipig na nagbibigay ng malutong na texture. Inihahain kasama ng espesyal na dipping sauce na may mayonnaise at calamansi.,"250 gms fish fillet (cream dory, snapper etc.), 1 kutsarang rock salt, 1/2 kutsaritang puting paminta dinurog, 1 kutsarang calamansi juice, 1 tasang harina, 2 pcs itlog binati nang maigi, 100 gms pinipig (local cereal), mantika para sa deep-frying. Sauce: mayonnaise, itlog, calamansi, paminta, asin, cayenne","Step 1: Hiwain ang fish fillet nang pahaba.

Step 2: Ibabad sa rock salt, puting paminta at calamansi juice.

Step 3: I-coat sa harina ang bawat fish fillet, saka isawsaw sa itlog at pagkaraan ay pagulungin sa pinipig. Palamigin ng mga 30 minuto.

Step 4: Iprito nang lubog sa mantika hanggang maging light brown at pumutok ang mga pinipig. Para ihanda ang dipping sauce:

Step 5: Ihalo nang maigi ang lahat ng sangkap para sa dipping sauce. Itago sa ref at ilabas kapag kakainin na ang Fish Pinipig.",Ulam / Isda / Pritong Pagkain,"Maalat, Malutong, Creamy (sauce)",Calories: ~340 kcal | Protein: ~24g | Omega-3: ~High | Fat: ~22g | Carbohydrates: ~14g | Calcium: ~4%,40,15,4,Easy,Low Cost,"Fish, Pinipig, Isda, Pritong Pagkain, Filipino","Tanghalian, Hapunan, Meryenda","Curious, Creative, Fun dinner mood, Impressed",
,Fancy Hot Dogs,Isang espesyal na paraan ng pagluluto ng hot dogs na may sibuyas at sour cream sauce. Simpleng pagkain na ginawa para maging mas masarap at pang-restaurant ang dating.,"1 kutsarang butter (magdagdag kung kinakailangan), 6 standard-sized hot dogs hiniwa-hiwa nang maninipis, 1 tasang sibuyas, 2/3 tasang sour cream, 1/3 tasang asukal, 1 kutsarang tinadtad na sariwang parsley (optional)","Step 1: Ilusaw ang butter sa isang kawali sa katamtamang init ng apoy.

Step 2: Idagdag ang sibuyas at hiniwang hotdogs. Lutuin habang hinahalo paminsan-minsan ng 5 to 10 minuto o hanggang maging brown ang hotdogs.

Step 3: Idagdag ang sour cream at kaunting-kaunting tubig. Haluin hanggang lumapot. Initin.

Step 4: Ihain kasama ang pasta. Wisikan ng tinadtad na sariwang parsley. Yield: Serves 4.",Ulam / Main Dish,"Maalat, Creamy, Matamis",Calories: ~380 kcal | Protein: ~12g | Fat: ~28g | Carbohydrates: ~18g | Sodium: ~1100mg | Calcium: ~6%,10,15,4,Easy,Low Cost,"Hot Dogs, Sour Cream, Pasta, Ulam, Negosyo","Tanghalian, Hapunan","Fun, Playful, Kid-friendly joy, Casual happiness",
,Egg Drop Soup,"Isang simpleng Chinese-inspired na sopas na gawa sa chicken stock, binating itlog, at mushroom. Masabaw at masustansya na angkop para sa lahat ng edad.","3 itlog binati, 4 tasang chicken stock, 1 kutsarang corn starch, 1/2 kutsaritang ginadgad na luya, 1 kutsarang toyo, 3 berdeng sibuyas tinadtad, 1/4 kutsaritang puting paminta, 3/4 tasang Shitake mushrooms","Step 1: Gamitin ang 1/2 tasa ng stock, haluan ito ng cornstarch hanggang matunaw ang cornstarch. Ito ang cornstarch and stock mixture mo.

Step 2: Ilagay ang natitirang chicken stock, luya, toyo, berdeng sibuyas, mushrooms at puting paminta sa isang kaserola at pakuluan.

Step 3: Idagdag ang cornstarch and stock mixture saka haluin. Hinaan ang apoy.

Step 4: Dahan-dahang ibuhos ang binating itlog habang hinahalo ang sopas. Patayin ang apoy at pangibabawan ang sopas ng tinadtad na berdeng sibuyas. Ihain habang mainit. Yield: Serves 4.",Sopas / Soup,"Maalat, Malinamnam, Masabaw",Calories: ~110 kcal | Protein: ~8g | Vitamin B: ~10% | Vitamin D: ~15% | Iron: ~8% | Sodium: ~920mg | Antioxidants: ~Med,10,15,4,Easy,Low Cost,"Egg Drop Soup, Sopas, Itlog, Mushroom, Chinese-inspired","Tanghalian, Hapunan","Sick, Cold, Simple comfort, Cozy, Quick satisfaction",
,Crabmeat Spread,Isang masarap na spread na gawa sa ginisang crabmeat at mayonnaise. Maaaring ihain kasama ng crackers o i-package sa bote para ibenta.,"1/2 lb ginisang crabmeat na hiniwa nang pinong-pino, 1/2 tasang mayonnaise, tinadtad na berdeng sibuyas, dinurog na itim na paminta","Step 1: Ihalo ang crabmeat at mayonnaise sa isang mangkok.

Step 2: Idagdag ang tinadtad na berdeng sibuyas at paminta pampalasa; haluin.

Step 3: Takpan ang mixture at ilagay sa ref.

Step 4: Kapag malamig na ang spread, ihain kasama ng crackers. Maaari ninyo rin itong i-package sa bote kung gusto ninyong ibenta.",Spread / Merienda / Negosyo,"Maalat, Creamy, Malinamnam",Calories: ~140 kcal | Protein: ~9g | Omega-3: ~High | Fat: ~10g | Sodium: ~380mg | Calcium: ~4%,10,0,4,Easy,Low Cost,"Crabmeat, Spread, Merienda, Negosyo, Seafood","Meryenda, Snack, Agahan","Fancy, Impressed, Party mood, Snacky and indulgent",
,Pancit Bihon,"Ang Pancit Bihon ay isa sa mga pinakakilalang pansit sa Pilipinas na ginagawa mula sa manipis na bigas na noodles. Niluluto ito kasama ang manok, baboy, at iba't ibang gulay tulad ng carrots, gisantes, at dahon ng celery. Ang toyo at chicken cube ang nagbibigay ng malalim na lasa sa bawat subo. Madalas itong inihahain sa kaarawan at iba pang espesyal na okasyon dahil sa paniniwala na nagbibigay ito ng mahabang buhay.","1 lb pancit bihon, 1/2 lb manok niluto at hinimay nang maninipis, 1/2 lb baboy hiniwa-hiwa nang maninipis, 1/8 lb gisantes o snow pea, 1 tasang carrot hiniwa-hiwa nang maninipis, 1 tasang dahon ng celery hiniwa-hiwa, 2 tasang bawang tinadtad, 1/2 kutsarang sibuyas hiniwa-hiwa, 1 pc. chicken cube, 5 kutsarang toyo, 3 hanggang 4 tasang tubig","Step 1: Sa isang malaking kaserola, igisa ang bawang at sibuyas hanggang mabango. 

Step 2: Idagdag ang baboy at manok saka bayaang maluto ng 2 minuto. 

Step 3: Idagdag ang chicken cube at tubig saka pakuluan sa katamtamang init ng apoy ng 15 minuto. 

Step 4: Ilagay ang carrots, gisantes, repolyo, at dahon ng celery saka lutuin sa mahinang apoy ng ilang minuto. 

Step 5: Tanggalin ang mga gulay sa kaserola at itabi. Step 6: Sa kaserola kung nasaan ang sabaw, idagdag ang toyo saka haluing maigi. 

Step 7: Idagdag ang pancit bihon na ibinabad muna sa tubig ng 10 minuto at haluing maigi. Iluto hanggang masipsip ng bihon ang sabaw. 

Step 8: Ilagay ang gulay at karne na naluto kanina saka iluto sa mahinang apoy ng hanggang 2 minuto. Ihain nang mainit.",Ulam / Pansit,"Maalat, Malasa, Umami",Calories: ~320 kcal | Protein: ~20g | Fat: ~8g | Carbs: ~44g | Sodium: ~720mg,15,30,8,Easy,Medium Cost,"Pancit, Bihon, Noodles, Filipino, Manok, Baboy, Kaarawan","Tanghalian, Hapunan, Espesyal na Okasyon","Birthday happiness, Nostalgic, Celebratory, Family gathering joy",
,Pancit Malabon,"Ang Pancit Malabon ay isang espesyal na pansit na nagmula sa lungsod ng Malabon sa Metro Manila. Kilala ito sa makapal na noodles at masarap na sawsawan na gawa sa katas ng hipon at atsuete na nagbibigay ng kahel na kulay. Puno ng iba't ibang toppings tulad ng hipon, chicharon, tinapa, nilagang itlog, at pechay baguio, ito ay isang makulay at masustansiyang putahe na paboritong kainin ng mga Pilipino sa espesyal na okasyon.","1 lb pancit malabon noodles, 1/2 lb liempo pakuluan at hiwa-hiwain, 3/4 tasang atsuete na nilusaw sa mainit na tubig (annatto water), 3/4 tasang patis, 1/2 kutsaritang bawang tinadtad, 1 kutsaritang dinurog na itim na paminta, 4 tasang chicharon dinurog, 1 medium-sized sibuyas hiniwa-hiwa, 1/2 lb hipon binalatan at niluto at hinati sa dalawang bahagi nang pahaba, 1/4 lb adobong pusit hiniwa-hiwa, 1/2 tasang chicharon dinurog, 1 tasang pechay baguio dinurog, 1 pc. lemon hiniwa-hiwa nang pakuwadrado (puwede ring kalamansi), 3/4 tasang himay na tinapa, 3 pcs. nilagang itlog hiniwa-hiwa, 1 kutsarang parsley hiniwa-hiwa, 2 kutsarang bawang","Step 1: Iluto ang noodles ayon sa package instructions. Kung ginagamit ang tradisyunal na pancit malabon noodles, ibabad ito sa tubig magdamag bago iluto. Itabi.
Step 2: Simulang gawin ang sawsawan sa pamamagitan ng pagpapaluto ng liempo at paghalo ng annatto water, patis, bawang, at paminta sa kaserola.
Step 3: Idagdag ang patis at dinurog na itim na paminta saka haluin nang maigi.
Step 4: Idagdag ang katas ng hipon at annatto water saka pakuluan sa kalamtamang init ng apoy ng 3 minuto.
Step 5: Idagdag ang dinurog na chicharon at sibuyas sa sawsawan at haluing maigi.
Step 6: Ibuhos ang sawsawan sa mga noodles sa isang malaking mangkok at haluing maigi para maipamahagi nang pantay.
Step 7: Isalin ang mga noodles sa isang serving plate o bilao.
Step 8: Ayusin ang mga toppings sa ibabaw: hipon, adobong pusit, chicharon, pechay baguio, tinapa, at nilagang itlog.
Step 9: Lagyan ng pinirituong bawang at parsley sa ibabaw.
Step 10: Ihain kasama ang hiwa ng lemon o kalamansi.",Ulam / Pansit,"Maalat, Malasa, Umami, Mataba",Calories: ~450 kcal | Protein: ~28g | Fat: ~18g | Carbs: ~48g | Sodium: ~890mg,20,40,6,Moderate,Medium Cost,"Pancit, Malabon, Noodles, Filipino, Seafood, Espesyal, Hipon","Tanghalian, Hapunan, Espesyal na Okasyon","Festive, Proud (Malabon pride), Celebratory, Special occasion",
,Pancit Palabok,"Ang Pancit Palabok ay isa sa mga pinakasikat na pansit sa Pilipinas na kilala sa makapal at maliwanag na kahel na sawsawan nito na gawa sa all-purpose flour, annatto powder, at pork broth. Ginagamit ang pancit bihon para sa noodles at itinatambal ng iba't ibang toppings tulad ng pinakuluang hipon, chicharon, nilagang itlog, tokwa, at pinirituong bawang. Masarap na ihain sa mga espesyal na okasyon tulad ng kaarawan at Pasko, at sinasamahan ng kalamansi para sa dagdag na asim.","1 pack (1 lb) pancit bihon, 2 kutsarang mantika, 1/2 lb giniling na baboy, 2 kutsarang annatto powder, 1 kutsarang bawang tinadtad, 3 tasang pork broth, 6 kutsarang all-purpose flour, 1 pc. shrimp cube, 1/2 kutsarang patis, 2 kutsaritang dinurog na itim na paminta, 1 tasang pinakuluang baboy hiniwa-hiwa sa maliliit na bahagi, 2 pcs. nilagang itlog hiniwa-hiwa nang pakuwadrado, 1/2 tasang hinimay na tokwa hiniwa-hiwa nang pakuwadrado, 1/2 tasang dinurog na chicharon, 1/4 tasang sibuyas hiniwa-hiwa, 1/4 tasang hipon pinakuluan o pinasingawan, 3 kutsarang pinirituong bawang, 2 pc. lemon hiniwa-hiwa (o 6 hanggang 8 pcs. kalamansi)","Step 1: Ibabad ang bihon sa tubig ng 15 minuto. Salain at itabi.
Step 2: Initin ang kaserola at ibuhos ang mantika. Kapag mainit na, ilagay ang giniling na baboy at lutuin hanggang maluto.
Step 3: Ihalo ang annatto powder sa kaunting mainit na tubig para lumabas ang kulay, saka ibuhos ito sa kaserola kasama ang pork broth at all-purpose flour. Haluing maigi para walang bukol.
Step 4: Idagdag ang shrimp cube at patis saka pakuluan sa katamtamang init ng apoy ng 3 minuto hanggang lumapot ang sawsawan.
Step 5: Ilagay ang bihon sa sawsawan at lutuin sa katamtamang init ng apoy hanggang masipsip ng bihon ang sabaw. Haluin paminsan-minsan para hindi masunog.
Step 6: Isalin ang mga noodles sa isang malaking serving plate o bilao.
Step 7: Ayusin ang mga toppings sa ibabaw: hipon, chicharon, nilagang itlog, tokwa, sibuyas, at pinirituong bawang.
Step 8: Ihain kasama ang hiwa ng lemon o kalamansi sa gilid.",Ulam / Pansit,"Maalat, Malasa, Umami, Creamy",Calories: ~410 kcal | Protein: ~24g | Fat: ~16g | Carbs: ~46g | Sodium: ~850mg,20,35,8,Moderate,Medium Cost,"Pancit, Palabok, Noodles, Filipino, Seafood, Espesyal, Kaarawan","Tanghalian, Hapunan, Espesyal na Okasyon","Celebratory, Birthday mood, Festive, Proud",
,Adobong Pusit,"Ang Adobong Pusit ay isang masarap na Filipino na putahe na ginagawa mula sa pusit na niluto sa toyo, suka, at tinta ng pusit mismo. Ang itim na tinta ng pusit ang nagbibigay ng natatanging maitim na kulay at malalim na lasa sa putaheng ito. Ang asim ng suka at alat ng toyo ay nagbabalanse sa masustansiyang lasa ng pusit. Ang bawang, sibuyas, at kamatis ay nagdadagdag ng karagdagang lalim ng lasa. Masarap na ihain kasama ang mainit na kanin.","2 lbs medium-sized pusit nilinis, 2 pc. medium sized kamatis hiniwa nang pakuwadrado, 1 pc. malaking sibuyas hiniwa nang pakuwadrado, 1/2 tasang toyo, 2 tasang suka, 1 tasang tubig, 5 cloves crushed garlic, 1/2 kutsaritang asukal, asin at paminta pampalasa, 2 kutsarang mantika","Step 1: Initin ang kawali o kaserola at ibuhos ang toyo, suka, at tubig saka pabayanang kumulo.
Step 2: Idagdag ang pusit at pabayanang kumulo sa katamtamang init ng apoy ng 5 minuto hanggang lumambot ang pusit.
Step 3: Patayin ang apoy saka ihiwalay ang pusit sa sabaw. Itabi ang pusit at ang sabaw nang hiwalay.
Step 4: Ibuhos ang mantika sa kawali o kaserola at paintitin sa katamtamang init ng apoy ng ilang segundo.
Step 5: Kapag mainit na ang mantika, igisa ang bawang, sibuyas, at kamatis hanggang lumambot at mabango.
Step 6: Idagdag ang tinta ng pusit, paminta, at asukal saka lutuin ng ilang segundo.
Step 7: Ibuhos ang soy sauce-vinegar-water mixture na ginamit para lutuin ang pusit saka pakuluan sa katamtamang init ng apoy ng 3 minuto.
Step 8: Idagdag ang pusit na naihiwalay kanina. Pakuluan sa mahinang apoy ng 3 minuto. Ihain nang mainit kasama ang kanin.",Ulam,"Maalat, Maasim, Malasa, Umami",Calories: ~280 kcal | Protein: ~32g | Fat: ~10g | Carbs: ~8g | Sodium: ~740mg,15,25,4,Easy,Medium Cost,"Adobo, Pusit, Squid, Filipino, Seafood, Maalat, Maasim","Tanghalian, Hapunan","Bold, Adventurous, Nostalgic, Craving something deep and savory",
,Pork Barbecue,"Ang Pork Barbecue ay isa sa mga pinakasikat na street food at pulutan sa Pilipinas na ginagawa mula sa manipis na hiwa ng baboy na inatsara sa toyo, banana ketchup, lemon juice, at asukal. Ang matamis, maalat, at bahagyang maanghang na marinade ang nagbibigay ng natatanging lasa sa bawat tusok. Ipinagmamayabang ng Pork Barbecue ang masarap at mabangong amoy nito habang inihahaw, na laging nagpapagutom sa lahat. Mas masarap kung ibabad nang magdamagan para mas malalim ang lasa ng marinade sa karne.","2 lbs baboy hiniwa-hiwa, 1/2 tasang toyo, lemon juice mula sa 1 pc. lemon, 1/2 tasang banana ketchup, 2 kutsaritang asin, 1 kutsarang pulang asukal, 3 kutsarang paminta, 8 cloves garlic tinadtad at dinurog","Step 1: Pagsamasamahin ang toyo, lemon juice, ketchup, asin, paminta, pulang asukal, at bawang sa isang malaking mixing bowl saka pagkahaluin nang maigi para maging pantay na marinade.
Step 2: Idagdag ang mga hiwa ng baboy sa marinade at siguraduhing matakpan nang buo ang bawat piraso. Para sa mas masarap na resulta, ibabad ang baboy sa marinade magdamagan sa ref. Kung gagamitin nang kaagad, maghintay ng 3 oras para sipsipinin ng karne ang marinade.
Step 3: Tusukin isa-isa ang mga hiwa ng baboy gamit ang barbecue stick.
Step 4: Ihawin ang baboy sa uling o grill nang baligtaran hanggang maluto at may char marks sa ibabaw.
Step 5: Gamitin ang natirang marinade sauce bilang basting sauce sa pagitan ng pag-ikot ng karne para mas maging makatas at malasa. Ihain kasama ng maanghang na suka.",Ulam / Ihaw / Street Food,"Matamis, Maalat, Malasa, Maanghang",Calories: ~380 kcal | Protein: ~28g | Fat: ~22g | Carbs: ~14g | Sodium: ~680mg,20,30,6,Easy,Medium Cost,"Barbecue, Baboy, Ihaw, Street Food, Filipino, Pulutan, Pork","Tanghalian, Hapunan, Pulutan","Street food happiness, Party mood, Nostalgic, Festive, Excited",
,Saucy Hotdog Cocktails,"Ang Saucy Hotdog Cocktails ay isang mabilis at masarap na meryenda o appetizer na ginagawa mula sa maliit na cocktail hotdog na niluto sa masarap na sawsawan ng ketchup, Worcestershire sauce, dry mustard, at paprika. Ang matamis at bahagyang maanghang na sauce ay perpektong nagbabalanse sa alat ng hotdog. Easy itong ihanda gamit ang microwave sa loob lamang ng ilang minuto, kaya perpekto para sa mga partido, pagtitipon, at mabilis na meryenda ng pamilya.","1/4 tasang tubig, 1/2 tasang ketchup, 3 kutsarang pulang asukal, 1/2 kutsaritang Worcestershire sauce, 1/2 kutsaritang dry mustard, 1/2 kutsaritang paprika, 450 gms cocktail hotdogs","Step 1: Paghaluin ang lahat ng mga sangkap maliban sa hotdog — tubig, ketchup, pulang asukal, Worcestershire sauce, dry mustard, at paprika — sa isang babasaging mangkok na microwave-safe.
Step 2: I-microwave nang may takip ng 3 minuto o hanggang bumula ang sawsawan.
Step 3: Ihalo ang mga cocktail hotdog sa sawsawan at haluing maigi para matakpan ng sauce ang bawat hotdog.
Step 4: I-microwave nang may takip ng 2 minuto o hanggang mainit nang mabuti ang mga hotdog.
Step 5: Pabayaang lumamig nang kaunti ng 2 minuto. Tusukin ng toothpick ang bawat hotdog saka ihain habang mainit.",Meryenda / Appetizer / Pulutan,"Matamis, Maalat, Bahagyang Maanghang",Calories: ~220 kcal | Protein: ~10g | Fat: ~14g | Carbs: ~16g | Sodium: ~580mg,5,10,6,Easy,Low Cost,"Hotdog, Cocktail, Meryenda, Party Food, Filipino, Quick, Easy","Meryenda, Pulutan, Appetizer","Party mood, Playful, Kids' excitement, Casual fun",
,Potato Salad,"Ang Potato Salad ay isang sikat na salad sa Pilipinas na ginagawa mula sa pinakuluang patatas at manok na sinasamahan ng mansanas, pineapple tidbits, keso, at pickle relish na pinagsamang sa creamy na mayonnaise. Ang pinagsamang tamis ng prutas at asim ng pickle relish ay nagbibigay ng natatanging matamis-asim na lasa. Ang keso at celery ay nagdadagdag ng texture at lalim ng lasa. Madalas itong inihahain sa mga handaan at espesyal na okasyon bilang side dish.","2 kilo patatas, 8 mansanas (mas mainam kung berde), 1 piso ng manok, 3 tasang tubig, 1 medium lata ng pineapple tidbits o crushed pineapple kasama pati ang syrup, 1-1/2 tasa mayonnaise (isang pouch), 3 kutsara ng pickle relish, 1 tasang keso grated, 2 tangkay ng celery, asin, paminta, rosemary (kung meron lamang)","Step 1: Sa isang kaserola, ilagay ang nahugasang patatas, manok, tubig, isang kutsaritang asin, at isang kutsarang rosemary. Ilaga ang manok hanggang lumambot.
Step 2: Ihango ang pitso ng manok saka ilagay sa isang lalagyan para palamigín. Itabi ang manok hanggang lumamig. Pagkatapos ilagay ang patatas sa kaserola, lagyan ng isang kutsaritang asin at tubig hanggang mataakpan ang patatas. Lutuin hanggang lumambot.
Step 3: Hanguin ang patatas saka hayaang lumamig. Hiwain ng 1-inch cubes.
Step 4: Hiwain ang mga mansanas sa 1/2-inch cubes. Maaari ring gumamit ng dalawang kulay ng mansanas para mas maganda ang presentasyon.
Step 5: Kapag malamig na ang patatas, ilagay ito sa isang malaking bowl kasama ng hinimay na manok, mansanas, at pineapple tidbits. Haluin nang dahan-dahan.
Step 6: Idagdag ang keso, pickle relish, at mayonnaise. Haluin nang maigi para mapagsamahin ang lahat ng sangkap. Ihain nang malamig.",Salad / Side Dish,"Matamis, Creamy, Maasim, Malasa",Calories: ~320 kcal | Protein: ~14g | Fat: ~16g | Carbs: ~36g | Sodium: ~380mg,20,30,8,Easy,Medium Cost,"Potato Salad, Salad, Filipino, Mayonnaise, Party Food, Side Dish","Tanghalian, Hapunan, Side Dish, Espesyal na Okasyon","Celebratory, Party mood, Festive, Happy gathering",
,Spiced Rubbed Steak,"Ang Spiced Rubbed Steak ay isang masarap na steak na pinahiran ng espesyal na pinagsamang chili powder, cumin, Spanish paprika, at iba pang pampalasa bago ihaw. Ang kombinasyon ng mga pampalasa ay nagbibigay ng malalim, mabango, at masarap na lasa sa karne. Inihahain kasama ang colorful na pepper salad na gawa sa tatlong kulay ng bell pepper at extra virgin olive oil, at deep-fried potato wedges para sa isang kumpletong lutong Kanluranin na pang-espesyal na okasyon.","2 kutsaritang chili powder, 1 kutsaritang ground cumin, 1 kutsaritang Spanish paprika, 1 kutsaritang pepper, 1 kutsaritang salt, 4 pcs. steak, 1 pc. red bell pepper malaki, 1 pc. green bell pepper malaki, 1 pc. yellow bell pepper malaki, 1/2 tasang extra virgin olive oil, 1 kutsarang dried thyme tinusta, asin at paminta pampalasa","Step 1: Sa isang mangkok, pagsamasamahin ang chili powder, cumin, paprika, garlic powder, asin, at paminta para gumawa ng spice rub.
Step 2: Ipahid ang spice rub sa bawat side ng steak magkabila. Siguraduhing pantay ang pagkahapid para maproseso ang lasa sa bawat bahagi ng karne.
Step 3: Ihawin ang steak sa katamtamang init ng apoy ng 4 minuto bawat side o hanggang maluto ayon sa kagustuhan.
Step 4: Para makagawa ng bell pepper salad, ihawin ang mga bell pepper sa mainit na apoy hanggang masunog ang balat.
Step 5: Palamigin ang inihaw na bell pepper sa isang mangkok na tinakpan ng plastic wrap para sumingaw at Easyng matanggal ang balat.
Step 6: Tanggalin ang balat ng bell pepper gamit ang kutsilyo. Alisin ang mga buto at hiwain nang pahaba.
Step 7: Lagyan ng thyme, extra virgin olive oil, asin, at paminta. Haluin nang maigi.
Step 8: Ihain ang steak kasama ng bell pepper salad at deep-fried potato wedges sa gilid.",Ulam / Steak,"Maanghang, Malasa, Maalat, Mabango",Calories: ~480 kcal | Protein: ~42g | Fat: ~28g | Carbs: ~6g | Sodium: ~520mg,15,20,4,Moderate,High Cost,"Steak, Beef, Spiced, Ihaw, Western, Malasa, Pampalasa","Tanghalian, Hapunan, Espesyal na Okasyon","Fancy, Romantic, Special occasion, Indulgent, Impressive",
,Binalot ng Santol,"Ang Binalot ng Santol ay isang natatanging Filipino na putahe na gumagamit ng santol bilang lalagyan at sangkap ng pagkain. Ang loob ng santol ay inaabot at ginagamit kasama ng ginisang giniling na karne, sweet peas, kasuy, at sibuyas bilang palaman. Ang lamukot ng santol ay nagdadagdag ng kakaibang matamis-asim na lasa sa palaman. Ito ay isang malikhaing paraan ng pagluluto na sinasamantala ang buong prutas at nagbibigay ng kakaibang presentasyon na tiyak na mapapansin sa mesa.","2 santol kainanman ang laki, 100g giniling na baboy o baka ginisa, 1/4 tasa sweet peas (puwedeng bitsuelas ginayat), 1 itlog binati, 1/2 sibuyas hiniwa, 1 butil ng bawang dinikdik, 1/4 tasa kasuy (puwedeng pili o garbansos), asin at paminta ayon sa panlasa, mantika pangginisa","Step 1: Hatiin ang santol pahalang. Alisin ang mga buto at bawasan ang ilalim ng santol para maging patag itong matatayo nang tuwid.
Step 2: Kunin ang lamukot ng mga buto ng santol gamit ang gunting o kutsara. Gawing parang lalagyan (relleno-style) ang bawat kalahati ng santol.
Step 3: Igisa ang bawang at sibuyas sa konting mantika sa kawali. Idagdag ang giniling na karne, asin, at paminta. Lutuin ng 1-2 minuto habang hinahalo.
Step 4: Idagdag ang sweet peas, ang lamukot ng santol, at ang kasuy saka haluin nang maigi para mapagsamahin ang lahat ng lasa.
Step 5: Punuin ang bawat kalahati ng santol ng ginisang palaman nang pantay at maayos.
Step 6: Idagdag ang binating itlog sa palaman para magsilbing pangdikit at dagdag na lasa.
Step 7: Sa isang kawali, ilagay ang mga napunan na santol at pakuluan sa kalamtamang init ng apoy ng 5-10 minuto hanggang maluto ang santol.
Step 8: Takpan ang kawali o kaserola at hayaang kumulo hanggang halos matuyo ang kaunting tubig. Ihain nang mainit.",Ulam / Lutong Gulay,"Matamis, Maasim, Malasa, Maalat",Calories: ~240 kcal | Protein: ~16g | Fat: ~12g | Carbs: ~18g | Sodium: ~420mg,20,25,4,Moderate,Low Cost,"Santol, Binalot, Filipino, Prutas, Stuffed, Giniling, Natatangi","Tanghalian, Hapunan","Curious, Adventurous, Creative cooking mood, Proud",
,Buffalo Chicken Wings,"Ang Buffalo Chicken Wings ay isang sikat na American-inspired na putahe na paboritong ihain bilang appetizer o pulutan. Ang mga pakpak ng manok ay pinahiran ng espesyal na timpla ng harina, chili powder, at paprika bago iprito hanggang maging ginto at malutong. Ang natatanging buffalo sauce na gawa sa butter at hot sauce ay ibinabagsak sa mga pritong pakpak para sa masarap na maanghang at matamis na coating. Perpekto para sa mga party at pagtitipon ng pamilya.","12 pcs. chicken wings, 1/2 kutsaritang chili powder, 1/2 kutsaritang asin, 1/3 tasang all purpose flour, 1/2 kutsaritang paprika, 5 kutsarang butter, 3 kutsaritang hot sauce, 1/8 kutsaritang dinurog na itim na paminta, 1/4 kutsaritang garlic powder, 4 tasang mantika","Step 1: Pagsamasamahin ang harina, chili powder, asin, at paprika sa isang mixing bowl. Paghaluin nang maigi para pantay ang timpla ng mga pampalasa.
Step 2: Ilagay ang mga chicken wings sa mixing bowl at lublob sa flour mixture hanggang magtakip nang buo ang bawat pakpak.
Step 3: Initin ang mantika sa kaserola sa katamtamang init ng apoy.
Step 4: I-deep fry ang mga chicken wings hanggang maging golden brown at malutong. Itabi sa paper towel para tumulo ang sobrang mantika.
Step 5: Itunaw ang butter sa isang hiwalay na kaserola sa mahinang apoy.
Step 6: Ilagay ang hot sauce, paminta, at garlic powder sa natunaw na butter. Haluin nang maigi hanggang maging pantay ang sauce.
Step 7: Ibuhos ang butter-hot sauce mixture sa mga pritong chicken wings. Ihalo nang maigi para maiktakip ang sauce sa bawat pakpak.
Step 8: Isalin sa pinggan at ihain habang mainit.",Ulam / Appetizer / Pulutan,"Maanghang, Maalat, Malasa, Malutong",Calories: ~420 kcal | Protein: ~26g | Fat: ~30g | Carbs: ~14g | Sodium: ~640mg,10,25,4,Easy,Medium Cost,"Buffalo Wings, Chicken, Fried, Maanghang, American, Pulutan, Party Food","Meryenda, Hapunan, Pulutan","Party mood, Bold, Excited, Sports night, Pulutan vibes",
,Chicken Gravy,"Ang Chicken Gravy ay isang malapot at masarap na sarsa na gawa sa butter, harina, at pinagsamang chicken at beef broth. Ang masarap na kombinasyon ng dalawang uri ng broth ay nagbibigay ng malalim at umami na lasa sa gravy. Ito ay perpektong isinasabaw sa pritong manok, mashed potato, o iba pang lutong karne. Easy itong gawin at nagdadagdag ng espesyal na lasa sa anumang simpleng ulam.","3 kutsarang butter, 5 kutsarang all-purpose flour, 1 pc. chicken cube, 1 pc. beef cube, 2 1/4 tasang tubig","Step 1: Lusawin ang beef cube at chicken cube sa 2 1/4 tasang tubig. Haluin hanggang matunaw nang buo. Itabi.
Step 2: Initin ang kaserola at ilagay ang butter. Bayaang malusaw ang butter sa mahinang apoy.
Step 3: Magdagdag ng 2 kutsarang harina at iluto sa mahinang apoy ng 7 hanggang 8 minuto o hanggang maging medium brown ang kulay ng harina. Maging maingat na huwag masunog.
Step 4: Idagdag ang natitirang harina at patuloy na haluin.
Step 5: Unti-unting idagdag ang chicken at beef broth habang hinahalo nang tuloy-tuloy. Kailangang patuloy na haluin para maiwasan ang pamumuo.
Step 6: Ilagay ang apoy sa medium at pabayaang kumulo ang mixture. Iluto ng 5 minuto habang hinahalo para lumapot ang gravy.
Step 7: Ihain kasama ang pinirituong manok o mashed potato.",Sarsa / Side Dish,"Maalat, Malasa, Umami, Creamy",Calories: ~120 kcal | Protein: ~4g | Fat: ~8g | Carbs: ~10g | Sodium: ~480mg,5,15,4,Easy,Low Cost,"Gravy, Sarsa, Chicken, Beef, Filipino, Side Dish, Sauce","Tanghalian, Hapunan, Side Dish","Comforted, Satisfied, Cozy, Simple pleasure",
